File,Size,Date Created,Date Modified,Date Last Accessed,Absolute Path
"AuxDirectoryReader.java","1.76 KB","04/02/2018 00:06:17","03/30/2018 19:34:28","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxDirectoryReader.java"
"AuxFile.java","3.96 KB","04/02/2018 00:06:17","03/31/2018 12:11:45","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxFile.java"
"AuxFileReader.java","6.08 KB","04/02/2018 00:06:17","03/30/2018 19:34:03","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxFileReader.java"
"AuxFormatter.java","2.3 KB","04/02/2018 00:06:17","03/30/2018 19:38:38","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxFormatter.java"
"AuxInputGetter.java","1.36 KB","04/02/2018 00:06:17","03/30/2018 19:34:03","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxInputGetter.java"
"AuxMethods.java","1.8 KB","04/02/2018 00:06:17","03/31/2018 09:21:01","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxMethods.java"
"AuxValidator.java","2.52 KB","04/02/2018 00:06:17","03/30/2018 19:34:03","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxValidator.java"
"AuxValidatorForm.java","7.31 KB","04/02/2018 00:06:17","03/31/2018 11:14:35","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\AuxPackage\AuxValidatorForm.java"
"Configs.java","532 bytes","04/02/2018 00:06:17","03/31/2018 12:08:56","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\Configs.java"
"FileFinder.java","14.19 KB","04/02/2018 00:06:17","04/01/2018 09:00:54","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\FileFinder.java"
"FileRenamer.java","12.57 KB","04/02/2018 00:06:17","03/30/2018 08:52:47","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\FileRenamer.java"
"Program.java","3.66 KB","04/02/2018 00:06:17","03/30/2018 08:52:47","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\Program.java"
"RenameTemplate.java","632 bytes","04/02/2018 00:06:17","03/30/2018 08:52:47","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\RenameTemplate.java"
"UI_Form.java","45.64 KB","04/02/2018 00:06:17","04/01/2018 08:01:59","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\UI_Form.java"
"ValidatorSearch.java","5.33 KB","04/02/2018 00:06:17","04/01/2018 07:59:08","04/02/2018 00:06:17","I:\Volume\Java\Semesters\SP2018\Ch11\Final Project\Ch11_Project\src\Program\ValidatorSearch.java"
